id,name,fullname,vat,company_registry,mfo,ceo_id:id,dgf_status_id:id,dgf_statusdate,dgf_terminationdateplan,website,active
company_380708,"ПАТ ""АВАНТ-БАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АВАНТ-БАНК""",36406512,36406512,380708,person_4,dict_6,2020-08-03,2020-08-03,https://avant.fg.gov.ua,0
company_380719,"ПАТ ""ВБР""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ""",36470620,36470620,380719,person_2,dict_6,2021-04-14,2021-04-14,https://vbr.fg.gov.ua,0
company_380764,"ПАТ ""КБ ""НАДРА""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""НАДРА""",20025456,20025456,380764,person_2,dict_5,2020-09-14,,https://nadra.fg.gov.ua,1
company_380786,"ПУАТ ""СМАРТБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СМАРТБАНК""",37176171,37176171,380786,person_12,dict_6,2019-04-24,2019-04-24,https://smart.fg.gov.ua,0
company_380861,"ПАТ ""БАНК ""СОФІЙСЬКИЙ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""СОФІЙСЬКИЙ""",38061253,38061253,380861,person_34,dict_6,2019-09-16,2019-09-16,https://sofyiskyi.fg.gov.ua,0
company_380902,"ПАТ ""БАНК ""ЮНІСОН""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ""ЮНІСОН""",38514375,38514375,380902,person_12,dict_6,2020-05-13,2020-05-13,https://unison.fg.gov.ua,0
company_380935,"ПАТ ""БАНК МИХАЙЛІВСЬКИЙ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК МИХАЙЛІВСЬКИЙ""",38619024,38619024,380935,person_2,dict_5,2020-10-16,,https://mbank.fg.gov.ua,1
company_380968,"ПАТ ""ДЕРЖЗЕМБАНК""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕРЖАВНИЙ ЗЕМЕЛЬНИЙ БАНК""",38591533,38591533,380968,person_12,dict_6,2018-04-02,2018-04-02,https://derzhzem.fg.gov.ua,0
company_380980,"ПАТ ""КОМЕРЦІЙНИЙ БАНК ""ДАНІЕЛЬ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ДАНІЕЛЬ""",26475516,26475516,380980,person_35,dict_6,2019-05-14,2019-05-14,https://daniel.fg.gov.ua,0
company_384577,"ПАТ ""ЧБРР""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЧОРНОМОРСЬКИЙ БАНК РОЗВИТКУ ТА РЕКОНСТРУКЦІЇ""",20929956,20929956,384577,person_14,dict_7,2015-09-04,,https://chbrr.fg.gov.ua,1
company_397133,"ПАТ АБ ""СТОЛИЧНИЙ""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ БАНК ""СТОЛИЧНИЙ""",20028816,20028816,397133,person_17,dict_6,2019-06-25,2019-06-25,https://stolychnyi.fg.gov.ua,0
base.main_company,"ФГВФО","ФОНД ГАРАНТУВАННЯ ВКЛАДІВ ФІЗИЧНИХ ОСІБ",21708016,21708016,300000,person_2,,,,https://fg.gov.ua,1
